candidate_id,geo_id,review_series_type,review_series_key,matched_turning_point_count,unmatched_turning_point_count,median_absolute_lag_months,p75_absolute_lag_months,p90_absolute_lag_months,maximum_absolute_lag_months,share_matched_turns_lag_ge_3m,share_matched_turns_lag_ge_6m,share_matched_turns_lag_ge_12m,chronology_inversion_count,large_lag_flag_count,baseline_mean_absolute_1m_change,baseline_sign_flip_rate,baseline_near_zero_rate,baseline_challenger_correlation,mean_absolute_baseline_challenger_difference,challenger_mean_absolute_1m_change,challenger_sign_flip_rate,challenger_near_zero_rate,challenger_baseline_volatility_ratio,percent_volatility_reduction,sign_flip_rate_change,near_zero_rate_change,baseline_seasonal_spread,baseline_minimum_month,baseline_maximum_month,challenger_seasonal_spread,challenger_minimum_month,challenger_maximum_month,challenger_baseline_seasonal_spread_ratio,percent_seasonal_spread_reduction,eligible_observation,chronology_delay_trigger,attenuation_trigger,seasonality_overkill_trigger,shock_suppression_trigger,blocking_diagnostic_issue,independent_trigger_family_count,supporting_seasonality_overkill_count,trigger_family_count,recommendation,review_reason
price_family_ma9_structural_linked,district_of_columbia_dc__county,shock,mortgage_rate_affordability_shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affordability_shock_flags
price_family_ma9_structural_linked,alameda_county_ca__county,metric,median_ppsf,6.0,8.0,3.5,4.0,5.0,6.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.2745778396966519,0.2826086956521739,0.1666666666666666,0.4514012169847197,0.3486086554438261,0.0999962338313665,0.1153846153846153,0.2,0.36418173419180633,0.6358182658081937,-0.16722408026755858,0.03333333333333341,0.2878380563732437,3.0,2.0,0.1010483725814668,2.0,8.0,0.3510598072217245,0.6489401927782755,True,False,False,False,False,False,0.0,0.0,0.0,retain_current_reference,largest_material_lag_share
price_family_ma9_structural_linked,alameda_county_ca__county,metric,median_sale_price,7.0,8.0,4.0,7.0,9.4,10.0,1.0,0.2857142857142857,0.0,5.0,0.0,0.3306348971089179,0.4057971014492754,0.1521739130434782,0.3467323247302924,0.3724085809741752,0.1134088274260484,0.1153846153846153,0.1538461538461538,0.34300319905036886,0.6569968009496312,-0.2904124860646601,0.001672240802675612,0.3847788762114099,8.0,2.0,0.1459384700978937,3.0,1.0,0.37927879912438445,0.6207212008756156,True,True,False,False,False,False,1.0,0.0,1.0,retain_current_reference,largest_material_lag_share
price_family_ma9_structural_linked,alameda_county_ca__county,metric,payment_burden,5.0,4.0,7.0,9.0,9.6,10.0,0.6,0.6,0.0,3.0,0.0,0.2381362213386464,0.1259842519685039,0.0944881889763779,0.825654700533594,0.2151645106326279,0.1171892751831312,0.0787401574803149,0.1338582677165354,0.49211024901785033,0.5078897509821496,-0.047244094488189003,0.039370078740157494,0.3089591029174209,9.0,12.0,0.2339604252523306,5.0,12.0,0.7572537045942418,0.2427462954057582,True,True,False,False,False,False,1.0,0.0,1.0,retain_current_reference,largest_material_lag_share
price_family_ma9_structural_linked,alameda_county_ca__county,metric,price_to_income,7.0,6.0,3.0,3.0,3.4000000000000004,4.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.2790874634971916,0.2519685039370078,0.1811023622047244,0.7182915928239041,0.2897959589528985,0.1099338174669939,0.0708661417322834,0.0708661417322834,0.39390453476280973,0.6060954652371903,-0.18110236220472442,-0.110236220472441,0.3737423217361225,1.0,12.0,0.3524112441129927,7.0,12.0,0.9429257100880579,0.05707428991194208,True,False,False,False,False,False,0.0,0.0,0.0,retain_current_reference,largest_material_lag_share
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric,median_ppsf,7.0,8.0,3.0,4.5,5.4,6.0,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.4725209444327296,0.5652173913043478,0.1594202898550724,0.3629714818080682,0.3994060279559676,0.1262358974825083,0.1,0.1846153846153846,0.26715407850133904,0.7328459214986609,-0.4652173913043478,0.025195094760312203,0.4683122059376684,6.0,2.0,0.1174518999526348,4.0,12.0,0.2507982889693621,0.7492017110306379,True,False,False,False,False,False,0.0,0.0,0.0,retain_current_reference,largest_material_lag_share
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric,median_sale_price,3.0,16.0,1.0,2.0,2.6,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5349538966584182,0.5362318840579711,0.1666666666666666,0.2487545113663319,0.4370062221777623,0.1966411833656107,0.2,0.1615384615384615,0.367585290235153,0.6324147097648469,-0.33623188405797105,-0.00512820512820511,0.5567538785475652,8.0,2.0,0.1771903775978466,3.0,1.0,0.31825620696185,0.68174379303815,False,False,False,False,False,False,0.0,0.0,0.0,insufficient_evidence,largest_material_lag_share
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric,payment_burden,5.0,8.0,3.0,6.0,9.600000000000001,12.0,0.6,0.4,0.2,1.0,0.0,0.368120832254225,0.2834645669291338,0.0944881889763779,0.8065756008102614,0.2486942055810447,0.1450573255619096,0.1102362204724409,0.1338582677165354,0.39404812999480754,0.6059518700051925,-0.17322834645669288,0.039370078740157494,0.3998940714972961,8.0,2.0,0.3297213600337074,7.0,12.0,0.8245217509705862,0.17547824902941378,True,True,False,False,False,False,1.0,0.0,1.0,retain_current_reference,largest_material_lag_share
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric,price_to_income,6.0,8.0,2.0,4.5,8.5,12.0,0.5,0.16666666666666666,0.16666666666666666,2.0,0.0,0.4396433993380961,0.4251968503937008,0.1417322834645669,0.6676227407416028,0.3340208515639983,0.1481767574030382,0.0551181102362204,0.0629921259842519,0.3370385126357528,0.6629614873642472,-0.37007874015748043,-0.078740157480315,0.4020681866845439,8.0,10.0,0.4900581559093841,3.0,12.0,1.218843400544584,-0.21884340054458407,True,False,False,False,False,False,0.0,0.0,0.0,retain_current_reference,largest_material_lag_share
price_family_ma9_structural_linked,alameda_county_ca__county,metric,median_ppsf,6.0,8.0,3.5,4.0,5.0,6.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.2745778396966519,0.2826086956521739,0.1666666666666666,0.4514012169847197,0.3486086554438261,0.0999962338313665,0.1153846153846153,0.2,0.36418173419180633,0.6358182658081937,-0.16722408026755858,0.03333333333333341,0.2878380563732437,3.0,2.0,0.1010483725814668,2.0,8.0,0.3510598072217245,0.6489401927782755,True,False,False,False,False,False,0.0,0.0,0.0,retain_current_reference,largest_p90_lag
price_family_ma9_structural_linked,alameda_county_ca__county,metric,median_sale_price,7.0,8.0,4.0,7.0,9.4,10.0,1.0,0.2857142857142857,0.0,5.0,0.0,0.3306348971089179,0.4057971014492754,0.1521739130434782,0.3467323247302924,0.3724085809741752,0.1134088274260484,0.1153846153846153,0.1538461538461538,0.34300319905036886,0.6569968009496312,-0.2904124860646601,0.001672240802675612,0.3847788762114099,8.0,2.0,0.1459384700978937,3.0,1.0,0.37927879912438445,0.6207212008756156,True,True,False,False,False,False,1.0,0.0,1.0,retain_current_reference,largest_p90_lag
price_family_ma9_structural_linked,alameda_county_ca__county,metric,payment_burden,5.0,4.0,7.0,9.0,9.6,10.0,0.6,0.6,0.0,3.0,0.0,0.2381362213386464,0.1259842519685039,0.0944881889763779,0.825654700533594,0.2151645106326279,0.1171892751831312,0.0787401574803149,0.1338582677165354,0.49211024901785033,0.5078897509821496,-0.047244094488189003,0.039370078740157494,0.3089591029174209,9.0,12.0,0.2339604252523306,5.0,12.0,0.7572537045942418,0.2427462954057582,True,True,False,False,False,False,1.0,0.0,1.0,retain_current_reference,largest_p90_lag
price_family_ma9_structural_linked,alameda_county_ca__county,metric,price_to_income,7.0,6.0,3.0,3.0,3.4000000000000004,4.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.2790874634971916,0.2519685039370078,0.1811023622047244,0.7182915928239041,0.2897959589528985,0.1099338174669939,0.0708661417322834,0.0708661417322834,0.39390453476280973,0.6060954652371903,-0.18110236220472442,-0.110236220472441,0.3737423217361225,1.0,12.0,0.3524112441129927,7.0,12.0,0.9429257100880579,0.05707428991194208,True,False,False,False,False,False,0.0,0.0,0.0,retain_current_reference,largest_p90_lag
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric,median_ppsf,7.0,8.0,3.0,4.5,5.4,6.0,0.7142857142857143,0.14285714285714285,0.0,0.0,0.0,0.4725209444327296,0.5652173913043478,0.1594202898550724,0.3629714818080682,0.3994060279559676,0.1262358974825083,0.1,0.1846153846153846,0.26715407850133904,0.7328459214986609,-0.4652173913043478,0.025195094760312203,0.4683122059376684,6.0,2.0,0.1174518999526348,4.0,12.0,0.2507982889693621,0.7492017110306379,True,False,False,False,False,False,0.0,0.0,0.0,retain_current_reference,largest_p90_lag
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric,median_sale_price,3.0,16.0,1.0,2.0,2.6,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5349538966584182,0.5362318840579711,0.1666666666666666,0.2487545113663319,0.4370062221777623,0.1966411833656107,0.2,0.1615384615384615,0.367585290235153,0.6324147097648469,-0.33623188405797105,-0.00512820512820511,0.5567538785475652,8.0,2.0,0.1771903775978466,3.0,1.0,0.31825620696185,0.68174379303815,False,False,False,False,False,False,0.0,0.0,0.0,insufficient_evidence,largest_p90_lag
price_family_ma9_structural_linked,district_of_columbia_dc__county,metric,payment_burden,5.0,8.0,3.0,6.0,9.600000000000001,12.0,0.6,0.4,0.2,1.0,0.0,0.368120832254225,0.2834645669291338,0.0944881889763779,0.8065756008102614,0.2486942055810447,0.1450573255619096,0.1102362204724409,0.1338582677165354,0.39404812999480754,0.6059518700051925,-0.17322834645669288,0.039370078740157494,0.3998940714972961,8.0,2.0,0.3297213600337074,7.0,12.0,0.8245217509705862,0.17547824902941378,True,True,False,False,False,False,1.0,0.0,1.0,retain_current_reference,largest_p90_lag
