candidate_id,geo_id,review_series_type,review_series_key,baseline_seasonal_spread,challenger_seasonal_spread,challenger_baseline_seasonal_spread_ratio,percent_seasonal_spread_reduction,baseline_minimum_month,baseline_maximum_month,challenger_minimum_month,challenger_maximum_month,chronology_delay_trigger,attenuation_trigger,seasonality_overkill_trigger
price_family_ma9_structural_linked,20001_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20001_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20002_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20002_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20003_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20003_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20004_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20004_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20005_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20005_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20006_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20006_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20007_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20007_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20008_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20008_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20009_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20009_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20010_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20010_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20011_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20011_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20012_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20012_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20015_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20015_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20016_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20016_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20017_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20017_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20018_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20018_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20019_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20019_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20020_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20020_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20024_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20024_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20027_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20027_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20032_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20032_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20036_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20036_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20037_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20037_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20060_district_of_columbia_dc__zip,structural_price_level,median_ppsf,,,,,,,,,False,False,False
price_family_ma9_structural_linked,20060_district_of_columbia_dc__zip,structural_price_level,median_sale_price,,,,,,,,,False,False,False
