geo_slug,geo_name,level,bls_ces_area_code,include_ces,bls_laus_area_code,include_laus,redfin_code,include_redfin,census_code,include_census,include_census_bps,bea_geo_fips,include_bea_qgdp,include_bea_agdp,fred_unemp_series_id,include_fred_unemp,fred_geo_code,include_fred
riverside_ca_metro_area__cbsa_metro,"Riverside, CA metro area",cbsa_metro,0640140,1,MT0640140000000,1,40140,1,40140,1,1,,0,0,,0,,0
roanoke_va_metro_area__cbsa_metro,"Roanoke, VA metro area",cbsa_metro,5140220,1,MT5140220000000,1,40220,1,40220,1,1,,0,0,,0,,0
sacramento_ca_metro_area__cbsa_metro,"Sacramento, CA metro area",cbsa_metro,0640900,1,MT0640900000000,1,40900,1,40900,1,1,,0,0,,0,,0
salinas_ca_metro_area__cbsa_metro,"Salinas, CA metro area",cbsa_metro,0641500,1,MT0641500000000,1,41500,1,41500,1,1,,0,0,,0,,0
san_diego_ca_metro_area__cbsa_metro,"San Diego, CA metro area",cbsa_metro,0641740,1,MT0641740000000,1,41740,1,41740,1,1,,0,0,,0,,0
san_francisco_ca_metro_area__cbsa_metro,"San Francisco, CA metro area",cbsa_metro,0641884,1,MT0641884000000,1,41884,1,41884,1,1,,0,0,,0,,0
san_jose_ca_metro_area__cbsa_metro,"San Jose, CA metro area",cbsa_metro,0641940,1,MT0641940000000,1,41940,1,41940,1,1,,0,0,,0,,0
san_luis_obispo_ca_metro_area__cbsa_metro,"San Luis Obispo, CA metro area",cbsa_metro,0642020,1,MT0642020000000,1,42020,1,42020,1,1,,0,0,,0,,0
san_rafael_ca_metro_area__cbsa_metro,"San Rafael, CA metro area",cbsa_metro,0642034,1,MT0642034000000,1,42034,1,42034,1,1,,0,0,,0,,0
santa_cruz_ca_metro_area__cbsa_metro,"Santa Cruz, CA metro area",cbsa_metro,0642100,1,MT0642100000000,1,42100,1,42100,1,1,,0,0,,0,,0
santa_maria_ca_metro_area__cbsa_metro,"Santa Maria, CA metro area",cbsa_metro,0642200,1,MT0642200000000,1,42200,1,42200,1,1,,0,0,,0,,0
santa_rosa_ca_metro_area__cbsa_metro,"Santa Rosa, CA metro area",cbsa_metro,0642220,1,MT0642220000000,1,42220,1,42220,1,1,,0,0,,0,,0
sonora_ca_metro_area__cbsa_metro,"Sonora, CA metro area",cbsa_metro,0643760,1,MT0643760000000,1,43760,1,43760,1,1,,0,0,,0,,0
staunton_va_metro_area__cbsa_metro,"Staunton, VA metro area",cbsa_metro,5144420,1,MT5144420000000,1,44420,1,44420,1,1,,0,0,,0,,0
stockton_ca_metro_area__cbsa_metro,"Stockton, CA metro area",cbsa_metro,0644700,1,MT0644700000000,1,44700,1,44700,1,1,,0,0,,0,,0
susanville_ca_metro_area__cbsa_metro,"Susanville, CA metro area",cbsa_metro,0645000,1,MT0645000000000,1,45000,1,45000,1,1,,0,0,,0,,0
trenton_nj_metro_area__cbsa_metro,"Trenton, NJ metro area",cbsa_metro,3445940,1,MT3445940000000,1,45940,1,45940,1,1,,0,0,,0,,0
truckee_ca_metro_area__cbsa_metro,"Truckee, CA metro area",cbsa_metro,0646020,1,MT0646020000000,1,46020,1,46020,1,1,,0,0,,0,,0
ukiah_ca_metro_area__cbsa_metro,"Ukiah, CA metro area",cbsa_metro,0646380,1,MT0646380000000,1,46380,1,46380,1,1,,0,0,,0,,0
vallejo_ca_metro_area__cbsa_metro,"Vallejo, CA metro area",cbsa_metro,0646700,1,MT0646700000000,1,46700,1,46700,1,1,,0,0,,0,,0
vineland_nj_metro_area__cbsa_metro,"Vineland, NJ metro area",cbsa_metro,3447220,1,MT3447220000000,1,47220,1,47220,1,1,,0,0,,0,,0
virginia_beach_va_metro_area__cbsa_metro,"Virginia Beach, VA metro area",cbsa_metro,5147260,1,MT5147260000000,1,47260,1,47260,1,1,,0,0,,0,,0
visalia_ca_metro_area__cbsa_metro,"Visalia, CA metro area",cbsa_metro,0647300,1,MT0647300000000,1,47300,1,47300,1,1,,0,0,,0,,0
washington_dc_metro_area__cbsa_metro,"Washington, DC metro area",cbsa_metro,1147894,1,MT1147894000000,1,47894,1,47894,1,1,,0,0,,0,,0
winchester_va_metro_area__cbsa_metro,"Winchester, VA metro area",cbsa_metro,5149020,1,MT5149020000000,1,49020,1,49020,1,1,,0,0,,0,,0
yuba_city_ca_metro_area__cbsa_metro,"Yuba City, CA metro area",cbsa_metro,0649700,1,MT0649700000000,1,49700,1,49700,1,1,,0,0,,0,,0
alameda_county_ca__county,"Alameda County, CA",county,,0,CN0600100000000,1,303,1,06001,1,1,06001,0,1,,0,,0
albemarle_county_va__county,"Albemarle County, VA",county,,0,CN5100300000000,1,2938,1,51003,1,1,51003,0,1,,0,,0
alexandria_va__county,"Alexandria, VA",county,,0,CN5151000000000,1,3032,1,51510,1,1,51510,0,1,,0,,0
allegany_county_md__county,"Allegany County, MD",county,,0,CN2400100000000,1,1310,1,24001,1,1,24001,0,1,,0,,0
amelia_county_va__county,"Amelia County, VA",county,,0,CN5100700000000,1,2940,1,51007,1,1,51007,0,1,,0,,0
amherst_county_va__county,"Amherst County, VA",county,,0,CN5100900000000,1,2941,1,51009,1,1,51009,0,1,,0,,0
anne_arundel_county_md__county,"Anne Arundel County, MD",county,,0,CN2400300000000,1,1311,1,24003,1,1,24003,0,1,,0,,0
appomattox_county_va__county,"Appomattox County, VA",county,,0,CN5101100000000,1,2942,1,51011,1,1,51011,0,1,,0,,0
arlington_county_va__county,"Arlington County, VA",county,,0,CN5101300000000,1,2943,1,51013,1,1,51013,0,1,,0,,0
atlantic_county_nj__county,"Atlantic County, NJ",county,,0,CN3400100000000,1,1891,1,34001,1,1,34001,0,1,,0,,0
augusta_county_va__county,"Augusta County, VA",county,,0,CN5101500000000,1,2944,1,51015,1,1,51015,0,1,,0,,0
baltimore_city_county_md__county,"Baltimore City County, MD",county,,0,CN2451000000000,1,1333,1,24510,1,1,24510,0,1,,0,,0
baltimore_county_md__county,"Baltimore County, MD",county,,0,CN2400500000000,1,1312,1,24005,1,1,24005,0,1,,0,,0
bedford_county_va__county,"Bedford County, VA",county,,0,CN5101900000000,1,2946,1,51019,1,1,51019,0,1,,0,,0
botetourt_county_va__county,"Botetourt County, VA",county,,0,CN5102300000000,1,2948,1,51023,1,1,51023,0,1,,0,,0
burlington_county_nj__county,"Burlington County, NJ",county,,0,CN3400500000000,1,1893,1,34005,1,1,34005,0,1,,0,,0
butte_county_ca__county,"Butte County, CA",county,,0,CN0600700000000,1,306,1,06007,1,1,06007,0,1,,0,,0
calvert_county_md__county,"Calvert County, MD",county,,0,CN2400900000000,1,1313,1,24009,1,1,24009,0,1,,0,,0
camden_county_nj__county,"Camden County, NJ",county,,0,CN3400700000000,1,1894,1,34007,1,1,34007,0,1,,0,,0
campbell_county_va__county,"Campbell County, VA",county,,0,CN5103100000000,1,2952,1,51031,1,1,51031,0,1,,0,,0
cape_may_county_nj__county,"Cape May County, NJ",county,,0,CN3400900000000,1,1895,1,34009,1,1,34009,0,1,,0,,0
carroll_county_md__county,"Carroll County, MD",county,,0,CN2401300000000,1,1315,1,24013,1,1,24013,0,1,,0,,0
charles_city_county_va__county,"Charles City County, VA",county,,0,CN5103600000000,1,2955,1,51036,1,1,51036,0,1,,0,,0
charles_county_md__county,"Charles County, MD",county,,0,CN2401700000000,1,1317,1,24017,1,1,24017,0,1,,0,,0
charlottesville_va__county,"Charlottesville, VA",county,,0,CN5154000000000,1,3036,1,51540,1,1,51540,0,1,,0,,0
chesapeake_va__county,"Chesapeake, VA",county,,0,CN5155000000000,1,3037,1,51550,1,1,51550,0,1,,0,,0
chesterfield_county_va__county,"Chesterfield County, VA",county,,0,CN5104100000000,1,2957,1,51041,1,1,51041,0,1,,0,,0
clarke_county_va__county,"Clarke County, VA",county,,0,CN5104300000000,1,2958,1,51043,1,1,51043,0,1,,0,,0
colonial_heights_va__county,"Colonial Heights, VA",county,,0,CN5157000000000,1,3038,1,51570,1,1,51570,0,1,,0,,0
contra_costa_county_ca__county,"Contra Costa County, CA",county,,0,CN0601300000000,1,309,1,06013,1,1,06013,0,1,,0,,0
craig_county_va__county,"Craig County, VA",county,,0,CN5104500000000,1,2959,1,51045,1,1,51045,0,1,,0,,0
culpeper_county_va__county,"Culpeper County, VA",county,,0,CN5104700000000,1,2960,1,51047,1,1,51047,0,1,,0,,0
cumberland_county_nj__county,"Cumberland County, NJ",county,,0,CN3401100000000,1,1896,1,34011,1,1,34011,0,1,,0,,0
danville_va__county,"Danville, VA",county,,0,CN5159000000000,1,3040,1,51590,1,1,51590,0,1,,0,,0
del_norte_county_ca__county,"Del Norte County, CA",county,,0,CN0601500000000,1,310,1,06015,1,1,06015,0,1,,0,,0
dinwiddie_county_va__county,"Dinwiddie County, VA",county,,0,CN5105300000000,1,2963,1,51053,1,1,51053,0,1,,0,,0
district_of_columbia_dc__county,"District of Columbia, DC",county,,0,CN1100100000000,1,436,1,11001,1,1,11001,0,1,,0,,0
dorchester_county_md__county,"Dorchester County, MD",county,,0,CN2401900000000,1,1318,1,24019,1,1,24019,0,1,,0,,0
el_dorado_county_ca__county,"El Dorado County, CA",county,,0,CN0601700000000,1,311,1,06017,1,1,06017,0,1,,0,,0
essex_county_nj__county,"Essex County, NJ",county,,0,CN3401300000000,1,1897,1,34013,1,1,34013,0,1,,0,,0
fairfax_city_county_va__county,"Fairfax City County, VA",county,,0,CN5160000000000,1,3042,1,51600,1,1,51600,0,1,,0,,0
fairfax_county_va__county,"Fairfax County, VA",county,,0,CN5105900000000,1,2965,1,51059,1,1,51059,0,1,,0,,0
falls_church_va__county,"Falls Church, VA",county,,0,CN5161000000000,1,3043,1,51610,1,1,51610,0,1,,0,,0
fauquier_county_va__county,"Fauquier County, VA",county,,0,CN5106100000000,1,2966,1,51061,1,1,51061,0,1,,0,,0
fluvanna_county_va__county,"Fluvanna County, VA",county,,0,CN5106500000000,1,2968,1,51065,1,1,51065,0,1,,0,,0
franklin_city_county_va__county,"Franklin City County, VA",county,,0,CN5162000000000,1,3044,1,51620,1,1,51620,0,1,,0,,0
franklin_county_va__county,"Franklin County, VA",county,,0,CN5106700000000,1,2969,1,51067,1,1,51067,0,1,,0,,0
frederick_county_md__county,"Frederick County, MD",county,,0,CN2402100000000,1,1319,1,24021,1,1,24021,0,1,,0,,0
frederick_county_va__county,"Frederick County, VA",county,,0,CN5106900000000,1,2970,1,51069,1,1,51069,0,1,,0,,0
fredericksburg_va__county,"Fredericksburg, VA",county,,0,CN5163000000000,1,3045,1,51630,1,1,51630,0,1,,0,,0
fresno_county_ca__county,"Fresno County, CA",county,,0,CN0601900000000,1,312,1,06019,1,1,06019,0,1,,0,,0
giles_county_va__county,"Giles County, VA",county,,0,CN5107100000000,1,2971,1,51071,1,1,51071,0,1,,0,,0
gloucester_county_nj__county,"Gloucester County, NJ",county,,0,CN3401500000000,1,1898,1,34015,1,1,34015,0,1,,0,,0
gloucester_county_va__county,"Gloucester County, VA",county,,0,CN5107300000000,1,2972,1,51073,1,1,51073,0,1,,0,,0
goochland_county_va__county,"Goochland County, VA",county,,0,CN5107500000000,1,2973,1,51075,1,1,51075,0,1,,0,,0
greene_county_va__county,"Greene County, VA",county,,0,CN5107900000000,1,2975,1,51079,1,1,51079,0,1,,0,,0
hampton_va__county,"Hampton, VA",county,,0,CN5165000000000,1,3047,1,51650,1,1,51650,0,1,,0,,0
hanover_county_va__county,"Hanover County, VA",county,,0,CN5108500000000,1,2978,1,51085,1,1,51085,0,1,,0,,0
harford_county_md__county,"Harford County, MD",county,,0,CN2402500000000,1,1321,1,24025,1,1,24025,0,1,,0,,0
harrisonburg_va__county,"Harrisonburg, VA",county,,0,CN5166000000000,1,3048,1,51660,1,1,51660,0,1,,0,,0
henrico_county_va__county,"Henrico County, VA",county,,0,CN5108700000000,1,2979,1,51087,1,1,51087,0,1,,0,,0
henry_county_va__county,"Henry County, VA",county,,0,CN5108900000000,1,2980,1,51089,1,1,51089,0,1,,0,,0
hopewell_va__county,"Hopewell, VA",county,,0,CN5167000000000,1,3049,1,51670,1,1,51670,0,1,,0,,0
howard_county_md__county,"Howard County, MD",county,,0,CN2402700000000,1,1322,1,24027,1,1,24027,0,1,,0,,0
humboldt_county_ca__county,"Humboldt County, CA",county,,0,CN0602300000000,1,314,1,06023,1,1,06023,0,1,,0,,0
hunterdon_county_nj__county,"Hunterdon County, NJ",county,,0,CN3401900000000,1,1900,1,34019,1,1,34019,0,1,,0,,0
imperial_county_ca__county,"Imperial County, CA",county,,0,CN0602500000000,1,315,1,06025,1,1,06025,0,1,,0,,0
isle_of_wight_county_va__county,"Isle of Wight County, VA",county,,0,CN5109300000000,1,2982,1,51093,1,1,51093,0,1,,0,,0
james_city_county_va__county,"James City County, VA",county,,0,CN5109500000000,1,2983,1,51095,1,1,51095,0,1,,0,,0
kern_county_ca__county,"Kern County, CA",county,,0,CN0602900000000,1,317,1,06029,1,1,06029,0,1,,0,,0
king_and_queen_county_va__county,"King & Queen County, VA",county,,0,CN5109700000000,1,2984,1,51097,1,1,51097,0,1,,0,,0
king_william_county_va__county,"King William County, VA",county,,0,CN5110100000000,1,2986,1,51101,1,1,51101,0,1,,0,,0
kings_county_ca__county,"Kings County, CA",county,,0,CN0603100000000,1,318,1,06031,1,1,06031,0,1,,0,,0
lake_county_ca__county,"Lake County, CA",county,,0,CN0603300000000,1,319,1,06033,1,1,06033,0,1,,0,,0
lassen_county_ca__county,"Lassen County, CA",county,,0,CN0603500000000,1,320,1,06035,1,1,06035,0,1,,0,,0
los_angeles_county_ca__county,"Los Angeles County, CA",county,,0,CN0603700000000,1,321,1,06037,1,1,06037,0,1,,0,,0
loudoun_county_va__county,"Loudoun County, VA",county,,0,CN5110700000000,1,2989,1,51107,1,1,51107,0,1,,0,,0
lynchburg_va__county,"Lynchburg, VA",county,,0,CN5168000000000,1,3051,1,51680,1,1,51680,0,1,,0,,0
madera_county_ca__county,"Madera County, CA",county,,0,CN0603900000000,1,322,1,06039,1,1,06039,0,1,,0,,0
madison_county_va__county,"Madison County, VA",county,,0,CN5111300000000,1,2992,1,51113,1,1,51113,0,1,,0,,0
manassas_park_va__county,"Manassas Park, VA",county,,0,CN5168500000000,1,3053,1,51685,1,1,51685,0,1,,0,,0
manassas_va__county,"Manassas, VA",county,,0,CN5168300000000,1,3052,1,51683,1,1,51683,0,1,,0,,0
marin_county_ca__county,"Marin County, CA",county,,0,CN0604100000000,1,323,1,06041,1,1,06041,0,1,,0,,0
martinsville_va__county,"Martinsville, VA",county,,0,CN5169000000000,1,3054,1,51690,1,1,51690,0,1,,0,,0
mathews_county_va__county,"Mathews County, VA",county,,0,CN5111500000000,1,2993,1,51115,1,1,51115,0,1,,0,,0
mendocino_county_ca__county,"Mendocino County, CA",county,,0,CN0604500000000,1,325,1,06045,1,1,06045,0,1,,0,,0
merced_county_ca__county,"Merced County, CA",county,,0,CN0604700000000,1,326,1,06047,1,1,06047,0,1,,0,,0
mercer_county_nj__county,"Mercer County, NJ",county,,0,CN3402100000000,1,1901,1,34021,1,1,34021,0,1,,0,,0
middlesex_county_nj__county,"Middlesex County, NJ",county,,0,CN3402300000000,1,1902,1,34023,1,1,34023,0,1,,0,,0
monmouth_county_nj__county,"Monmouth County, NJ",county,,0,CN3402500000000,1,1903,1,34025,1,1,34025,0,1,,0,,0
monterey_county_ca__county,"Monterey County, CA",county,,0,CN0605300000000,1,329,1,06053,1,1,06053,0,1,,0,,0
montgomery_county_md__county,"Montgomery County, MD",county,,0,CN2403100000000,1,1324,1,24031,1,1,24031,0,1,,0,,0
montgomery_county_va__county,"Montgomery County, VA",county,,0,CN5112100000000,1,2996,1,51121,1,1,51121,0,1,,0,,0
morris_county_nj__county,"Morris County, NJ",county,,0,CN3402700000000,1,1904,1,34027,1,1,34027,0,1,,0,,0
napa_county_ca__county,"Napa County, CA",county,,0,CN0605500000000,1,330,1,06055,1,1,06055,0,1,,0,,0
nelson_county_va__county,"Nelson County, VA",county,,0,CN5112500000000,1,2997,1,51125,1,1,51125,0,1,,0,,0
nevada_county_ca__county,"Nevada County, CA",county,,0,CN0605700000000,1,331,1,06057,1,1,06057,0,1,,0,,0
new_kent_county_va__county,"New Kent County, VA",county,,0,CN5112700000000,1,2998,1,51127,1,1,51127,0,1,,0,,0
newport_news_va__county,"Newport News, VA",county,,0,CN5170000000000,1,3055,1,51700,1,1,51700,0,1,,0,,0
norfolk_va__county,"Norfolk, VA",county,,0,CN5171000000000,1,3056,1,51710,1,1,51710,0,1,,0,,0
norton_va__county,"Norton, VA",county,,0,CN5172000000000,1,3057,1,51720,1,1,51720,0,1,,0,,0
ocean_county_nj__county,"Ocean County, NJ",county,,0,CN3402900000000,1,1905,1,34029,1,1,34029,0,1,,0,,0
orange_county_ca__county,"Orange County, CA",county,,0,CN0605900000000,1,332,1,06059,1,1,06059,0,1,,0,,0
petersburg_va__county,"Petersburg, VA",county,,0,CN5173000000000,1,3058,1,51730,1,1,51730,0,1,,0,,0
pittsylvania_county_va__county,"Pittsylvania County, VA",county,,0,CN5114300000000,1,3005,1,51143,1,1,51143,0,1,,0,,0
placer_county_ca__county,"Placer County, CA",county,,0,CN0606100000000,1,333,1,06061,1,1,06061,0,1,,0,,0
poquoson_va__county,"Poquoson, VA",county,,0,CN5173500000000,1,3059,1,51735,1,1,51735,0,1,,0,,0
portsmouth_va__county,"Portsmouth, VA",county,,0,CN5174000000000,1,3060,1,51740,1,1,51740,0,1,,0,,0
powhatan_county_va__county,"Powhatan County, VA",county,,0,CN5114500000000,1,3006,1,51145,1,1,51145,0,1,,0,,0
prince_george_county_va__county,"Prince George County, VA",county,,0,CN5114900000000,1,3008,1,51149,1,1,51149,0,1,,0,,0
prince_george_s_county_md__county,"Prince George's County, MD",county,,0,CN2403300000000,1,1325,1,24033,1,1,24033,0,1,,0,,0
prince_william_county_va__county,"Prince William County, VA",county,,0,CN5115300000000,1,3009,1,51153,1,1,51153,0,1,,0,,0
pulaski_county_va__county,"Pulaski County, VA",county,,0,CN5115500000000,1,3010,1,51155,1,1,51155,0,1,,0,,0
queen_anne_s_county_md__county,"Queen Anne's County, MD",county,,0,CN2403500000000,1,1326,1,24035,1,1,24035,0,1,,0,,0
radford_va__county,"Radford, VA",county,,0,CN5175000000000,1,3061,1,51750,1,1,51750,0,1,,0,,0
rappahannock_county_va__county,"Rappahannock County, VA",county,,0,CN5115700000000,1,3011,1,51157,1,1,51157,0,1,,0,,0
richmond_city_county_va__county,"Richmond City County, VA",county,,0,CN5176000000000,1,3062,1,51760,1,1,51760,0,1,,0,,0
riverside_county_ca__county,"Riverside County, CA",county,,0,CN0606500000000,1,335,1,06065,1,1,06065,0,1,,0,,0
roanoke_city_county_va__county,"Roanoke City County, VA",county,,0,CN5177000000000,1,3063,1,51770,1,1,51770,0,1,,0,,0
roanoke_county_va__county,"Roanoke County, VA",county,,0,CN5116100000000,1,3013,1,51161,1,1,51161,0,1,,0,,0
rockingham_county_va__county,"Rockingham County, VA",county,,0,CN5116500000000,1,3015,1,51165,1,1,51165,0,1,,0,,0
sacramento_county_ca__county,"Sacramento County, CA",county,,0,CN0606700000000,1,336,1,06067,1,1,06067,0,1,,0,,0
salem_va__county,"Salem, VA",county,,0,CN5177500000000,1,3064,1,51775,1,1,51775,0,1,,0,,0
san_benito_county_ca__county,"San Benito County, CA",county,,0,CN0606900000000,1,337,1,06069,1,1,06069,0,1,,0,,0
san_bernardino_county_ca__county,"San Bernardino County, CA",county,,0,CN0607100000000,1,338,1,06071,1,1,06071,0,1,,0,,0
san_diego_county_ca__county,"San Diego County, CA",county,,0,CN0607300000000,1,339,1,06073,1,1,06073,0,1,,0,,0
san_francisco_county_ca__county,"San Francisco County, CA",county,,0,CN0607500000000,1,340,1,06075,1,1,06075,0,1,,0,,0
san_joaquin_county_ca__county,"San Joaquin County, CA",county,,0,CN0607700000000,1,341,1,06077,1,1,06077,0,1,,0,,0
san_luis_obispo_county_ca__county,"San Luis Obispo County, CA",county,,0,CN0607900000000,1,342,1,06079,1,1,06079,0,1,,0,,0
san_mateo_county_ca__county,"San Mateo County, CA",county,,0,CN0608100000000,1,343,1,06081,1,1,06081,0,1,,0,,0
santa_barbara_county_ca__county,"Santa Barbara County, CA",county,,0,CN0608300000000,1,344,1,06083,1,1,06083,0,1,,0,,0
santa_clara_county_ca__county,"Santa Clara County, CA",county,,0,CN0608500000000,1,345,1,06085,1,1,06085,0,1,,0,,0
santa_cruz_county_ca__county,"Santa Cruz County, CA",county,,0,CN0608700000000,1,346,1,06087,1,1,06087,0,1,,0,,0
shasta_county_ca__county,"Shasta County, CA",county,,0,CN0608900000000,1,347,1,06089,1,1,06089,0,1,,0,,0
solano_county_ca__county,"Solano County, CA",county,,0,CN0609500000000,1,350,1,06095,1,1,06095,0,1,,0,,0
somerset_county_nj__county,"Somerset County, NJ",county,,0,CN3403500000000,1,1908,1,34035,1,1,34035,0,1,,0,,0
sonoma_county_ca__county,"Sonoma County, CA",county,,0,CN0609700000000,1,351,1,06097,1,1,06097,0,1,,0,,0
southampton_county_va__county,"Southampton County, VA",county,,0,CN5117500000000,1,3020,1,51175,1,1,51175,0,1,,0,,0
spotsylvania_county_va__county,"Spotsylvania County, VA",county,,0,CN5117700000000,1,3021,1,51177,1,1,51177,0,1,,0,,0
st_mary_s_county_md__county,"St. Mary's County, MD",county,,0,CN2403700000000,1,1327,1,24037,1,1,24037,0,1,,0,,0
