candidate_id,level_window,geo_id,metric,first_level_date
price_family_ma6_structural_linked,6,geo_alpha,median_sale_price,2020-06-30
price_family_ma6_structural_linked,6,geo_alpha,median_ppsf,2020-06-30
price_family_ma6_structural_linked,6,geo_beta,median_sale_price,2020-06-30
price_family_ma6_structural_linked,6,geo_beta,median_ppsf,2020-06-30
price_family_ma9_structural_linked,9,geo_alpha,median_sale_price,2020-09-30
price_family_ma9_structural_linked,9,geo_alpha,median_ppsf,2020-09-30
price_family_ma9_structural_linked,9,geo_beta,median_sale_price,2020-09-30
price_family_ma9_structural_linked,9,geo_beta,median_ppsf,2020-09-30
price_family_ma12_structural_linked,12,geo_alpha,median_sale_price,2020-12-31
price_family_ma12_structural_linked,12,geo_alpha,median_ppsf,2020-12-31
price_family_ma12_structural_linked,12,geo_beta,median_sale_price,2020-12-31
price_family_ma12_structural_linked,12,geo_beta,median_ppsf,2020-12-31
