candidate_id,level_window,geo_id,metric,feature_component,date,expected_level,expected_reference,expected_feature
price_family_ma6_structural_linked,6,geo_alpha,price_to_income,level,2020-06-30,3.2857142857142856,,3.2857142857142856
price_family_ma6_structural_linked,6,geo_alpha,price_to_income,short,2020-09-30,3.4051020408163266,3.2857142857142856,0.03633540372670807
price_family_ma6_structural_linked,6,geo_alpha,price_to_income,long,2021-06-30,3.5805825242718448,3.2857142857142856,0.08974250738708323
price_family_ma6_structural_linked,6,geo_alpha,payment_burden,level,2020-06-30,0.1368440835867249,,0.1368440835867249
price_family_ma6_structural_linked,6,geo_alpha,payment_burden,short,2020-09-30,0.1447882979932882,0.1368440835867249,0.05805303523793692
price_family_ma6_structural_linked,6,geo_alpha,payment_burden,long,2021-06-30,0.1618340552281395,0.1368440835867249,0.18261638345202713
price_family_ma6_structural_linked,6,geo_beta,price_to_income,level,2020-06-30,3.5517241379310347,,3.5517241379310347
price_family_ma6_structural_linked,6,geo_beta,price_to_income,short,2020-09-30,3.652586206896552,3.5517241379310347,0.028398058252427028
price_family_ma6_structural_linked,6,geo_beta,price_to_income,long,2021-06-30,3.7917355371900827,3.5517241379310347,0.06757602503410087
price_family_ma6_structural_linked,6,geo_beta,payment_burden,level,2020-06-30,0.14792291494157223,,0.14792291494157223
price_family_ma6_structural_linked,6,geo_beta,payment_burden,short,2020-09-30,0.15531156888429912,0.14792291494157223,0.049949353321257384
price_family_ma6_structural_linked,6,geo_beta,payment_burden,long,2021-06-30,0.17137768342901374,0.14792291494157223,0.15856075102837086
price_family_ma9_structural_linked,9,geo_alpha,price_to_income,level,2020-09-30,3.340816326530612,,3.340816326530612
price_family_ma9_structural_linked,9,geo_alpha,price_to_income,short,2020-12-31,3.4693877551020407,3.340816326530612,0.038485033598045115
price_family_ma9_structural_linked,9,geo_alpha,price_to_income,long,2021-09-30,3.633009708737864,3.340816326530612,0.08746167213289757
price_family_ma9_structural_linked,9,geo_alpha,payment_burden,level,2020-09-30,0.14205480600240505,,0.14205480600240505
price_family_ma9_structural_linked,9,geo_alpha,payment_burden,short,2020-12-31,0.15058379490437598,0.14205480600240505,0.060040129172585166
price_family_ma9_structural_linked,9,geo_alpha,payment_burden,long,2021-09-30,0.16751453809222067,0.14205480600240505,0.17922471478638013
price_family_ma9_structural_linked,9,geo_beta,price_to_income,level,2020-09-30,3.5982758620689657,,3.5982758620689657
price_family_ma9_structural_linked,9,geo_beta,price_to_income,short,2020-12-31,3.706896551724138,3.5982758620689657,0.03018687110685181
price_family_ma9_structural_linked,9,geo_beta,price_to_income,long,2021-09-30,3.8363636363636364,3.5982758620689657,0.06616718212309958
price_family_ma9_structural_linked,9,geo_beta,payment_burden,level,2020-09-30,0.15300223944372537,,0.15300223944372537
price_family_ma9_structural_linked,9,geo_beta,payment_burden,short,2020-12-31,0.1608925232573632,0.15300223944372537,0.05156972762179657
price_family_ma9_structural_linked,9,geo_beta,payment_burden,long,2021-09-30,0.17689098957087757,0.15300223944372537,0.15613333644007565
price_family_ma12_structural_linked,12,geo_alpha,price_to_income,level,2020-12-31,3.4051020408163266,,3.4051020408163266
price_family_ma12_structural_linked,12,geo_alpha,price_to_income,short,2021-03-31,3.353398058252427,3.4051020408163266,-0.015184268178789706
price_family_ma12_structural_linked,12,geo_alpha,price_to_income,long,2021-12-31,3.6941747572815533,3.4051020408163266,0.08489399524600594
price_family_ma12_structural_linked,12,geo_alpha,payment_burden,level,2020-12-31,0.1477935657635008,,0.1477935657635008
price_family_ma12_structural_linked,12,geo_alpha,payment_burden,short,2021-03-31,0.14854156040586872,0.1477935657635008,0.005061077175476214
price_family_ma12_structural_linked,12,geo_alpha,payment_burden,long,2021-12-31,0.17373605510145748,0.1477935657635008,0.1755319266027442
price_family_ma12_structural_linked,12,geo_beta,price_to_income,level,2020-12-31,3.652586206896552,,3.652586206896552
price_family_ma12_structural_linked,12,geo_beta,price_to_income,short,2021-03-31,3.5983471074380167,3.652586206896552,-0.01484950563415166
price_family_ma12_structural_linked,12,geo_beta,price_to_income,long,2021-12-31,3.8884297520661155,3.652586206896552,0.0645689196121535
price_family_ma12_structural_linked,12,geo_beta,payment_burden,level,2020-12-31,0.15853526070731347,,0.15853526070731347
price_family_ma12_structural_linked,12,geo_beta,payment_burden,short,2021-03-31,0.15939178258465855,0.15853526070731347,0.005402721599748084
price_family_ma12_structural_linked,12,geo_beta,payment_burden,long,2021-12-31,0.18287181577739778,0.15853526070731347,0.15350878385985234
