candidate_id,geo_id,series_type,series_key,flag_type,severity,direction,baseline_turn_date,challenger_turn_date,signed_lag_months,detail
price_family_ma12_structural_linked,alameda_county_ca__county,axis_score,demand,missing_segment_coverage,review,,,,,pre_gfc_early_history has 0 overlapping observations
price_family_ma12_structural_linked,alameda_county_ca__county,axis_score,demand,unmatched_turning_point,review,peak,2022-03-31 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,affordability,missing_segment_coverage,review,,,,,gfc_housing_correction has 0 overlapping observations
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,affordability,missing_segment_coverage,review,,,,,pre_gfc_early_history has 0 overlapping observations
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,affordability,unmatched_turning_point,review,peak,2018-02-28 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,affordability,unmatched_turning_point,review,peak,2019-02-28 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,affordability,unmatched_turning_point,review,peak,2020-01-31 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,affordability,unmatched_turning_point,review,peak,2025-02-28 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,affordability,unmatched_turning_point,review,peak,2026-01-31 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,affordability,unmatched_turning_point,review,trough,2016-06-30 00:00:00,,,trough unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,affordability,unmatched_turning_point,review,trough,2021-05-31 00:00:00,,,trough unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,affordability,unmatched_turning_point,review,trough,2023-09-30 00:00:00,,,trough unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,price,missing_segment_coverage,review,,,,,gfc_housing_correction has 0 overlapping observations
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,price,missing_segment_coverage,review,,,,,pre_gfc_early_history has 0 overlapping observations
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,price,unmatched_turning_point,review,peak,2015-05-31 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,price,unmatched_turning_point,review,peak,2017-04-30 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,price,unmatched_turning_point,review,peak,2020-04-30 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,price,unmatched_turning_point,review,peak,2021-05-31 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,price,unmatched_turning_point,review,peak,2022-04-30 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,price,unmatched_turning_point,review,peak,2025-04-30 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,price,unmatched_turning_point,review,trough,2016-09-30 00:00:00,,,trough unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,price,unmatched_turning_point,review,trough,2019-01-31 00:00:00,,,trough unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,dimension_score,price,unmatched_turning_point,review,trough,2026-01-31 00:00:00,,,trough unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_ppsf,missing_segment_coverage,review,,,,,gfc_housing_correction has 0 overlapping observations
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_ppsf,missing_segment_coverage,review,,,,,pre_gfc_early_history has 0 overlapping observations
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_ppsf,unmatched_turning_point,review,peak,2017-04-30 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_ppsf,unmatched_turning_point,review,peak,2020-04-30 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_ppsf,unmatched_turning_point,review,peak,2021-05-31 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_ppsf,unmatched_turning_point,review,peak,2022-04-30 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_ppsf,unmatched_turning_point,review,peak,2023-07-31 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_ppsf,unmatched_turning_point,review,peak,2025-04-30 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_ppsf,unmatched_turning_point,review,peak,2025-10-31 00:00:00,,,peak unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_ppsf,unmatched_turning_point,review,trough,2016-09-30 00:00:00,,,trough unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_ppsf,unmatched_turning_point,review,trough,2019-01-31 00:00:00,,,trough unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_ppsf,unmatched_turning_point,review,trough,2019-08-31 00:00:00,,,trough unmatched
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_sale_price,missing_segment_coverage,review,,,,,gfc_housing_correction has 0 overlapping observations
price_family_ma12_structural_linked,alameda_county_ca__county,metric_score,median_sale_price,missing_segment_coverage,review,,,,,pre_gfc_early_history has 0 overlapping observations
