geo_id,metric,feature_component,date,expected_level,expected_reference,expected_feature
geo_alpha,price_to_income,level,2020-12-31,3.4051020408163266,,3.4051020408163266
geo_alpha,price_to_income,short,2021-03-31,3.353398058252427,3.4051020408163266,-0.015184268178789706
geo_alpha,price_to_income,long,2021-12-31,3.6941747572815533,3.4051020408163266,0.08489399524600594
geo_alpha,payment_burden,level,2020-12-31,0.1477935657635008,,0.1477935657635008
geo_alpha,payment_burden,short,2021-03-31,0.14854156040586872,0.1477935657635008,0.005061077175476214
geo_alpha,payment_burden,long,2021-12-31,0.17373605510145748,0.1477935657635008,0.1755319266027442
geo_beta,price_to_income,level,2020-12-31,3.652586206896552,,3.652586206896552
geo_beta,price_to_income,short,2021-03-31,3.5983471074380167,3.652586206896552,-0.01484950563415166
geo_beta,price_to_income,long,2021-12-31,3.8884297520661155,3.652586206896552,0.0645689196121535
geo_beta,payment_burden,level,2020-12-31,0.15853526070731347,,0.15853526070731347
geo_beta,payment_burden,short,2021-03-31,0.15939178258465855,0.15853526070731347,0.005402721599748084
geo_beta,payment_burden,long,2021-12-31,0.18287181577739778,0.15853526070731347,0.15350878385985234
