candidate_id,geo_id,review_series_type,review_series_key,matched_turning_point_count,unmatched_turning_point_count,median_absolute_lag_months,p75_absolute_lag_months,p90_absolute_lag_months,maximum_absolute_lag_months,share_matched_turns_lag_ge_3m,share_matched_turns_lag_ge_6m,share_matched_turns_lag_ge_12m,chronology_inversion_count,large_lag_flag_count,baseline_mean_absolute_1m_change,baseline_sign_flip_rate,baseline_near_zero_rate,baseline_challenger_correlation,mean_absolute_baseline_challenger_difference,challenger_mean_absolute_1m_change,challenger_sign_flip_rate,challenger_near_zero_rate,challenger_baseline_volatility_ratio,percent_volatility_reduction,sign_flip_rate_change,near_zero_rate_change,baseline_seasonal_spread,baseline_minimum_month,baseline_maximum_month,challenger_seasonal_spread,challenger_minimum_month,challenger_maximum_month,challenger_baseline_seasonal_spread_ratio,percent_seasonal_spread_reduction,eligible_observation,chronology_delay_trigger,attenuation_trigger,seasonality_overkill_trigger,shock_suppression_trigger,blocking_diagnostic_issue,independent_trigger_family_count,supporting_seasonality_overkill_count,trigger_family_count,recommendation
price_family_ma6_structural_linked,20001_district_of_columbia_dc__zip,structural_price_level,median_ppsf,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20001_district_of_columbia_dc__zip,structural_price_level,median_sale_price,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20002_district_of_columbia_dc__zip,structural_price_level,median_ppsf,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20002_district_of_columbia_dc__zip,structural_price_level,median_sale_price,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20003_district_of_columbia_dc__zip,structural_price_level,median_ppsf,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20003_district_of_columbia_dc__zip,structural_price_level,median_sale_price,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20004_district_of_columbia_dc__zip,structural_price_level,median_ppsf,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20004_district_of_columbia_dc__zip,structural_price_level,median_sale_price,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20005_district_of_columbia_dc__zip,structural_price_level,median_ppsf,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20005_district_of_columbia_dc__zip,structural_price_level,median_sale_price,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20006_district_of_columbia_dc__zip,structural_price_level,median_ppsf,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20006_district_of_columbia_dc__zip,structural_price_level,median_sale_price,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20007_district_of_columbia_dc__zip,structural_price_level,median_ppsf,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20007_district_of_columbia_dc__zip,structural_price_level,median_sale_price,39,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20008_district_of_columbia_dc__zip,structural_price_level,median_ppsf,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
price_family_ma6_structural_linked,20008_district_of_columbia_dc__zip,structural_price_level,median_sale_price,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,0,0,0,insufficient_evidence
