geo_id,dimension_left,dimension_right,observations,both_active_observations,contribution_correlation,absolute_activity_correlation,score_change_correlation,same_sign_fraction_when_both_active,opposite_sign_fraction_when_both_active,mean_joint_gross_activity,total_joint_gross_activity,mean_pair_cancellation,total_pair_cancellation,pair_cancellation_rate
alameda_county_ca__county,price,affordability,128,123,-0.3172593666522318,0.23876421210909787,-0.3172593666522317,0.3170731707317073,0.6829268292682927,0.020191394673994684,2.5844985182713196,0.008178857204826015,1.04689372221773,0.4050664818790302
alameda_county_ca__county,price,capital_markets,128,123,-0.08325191936305568,0.22418138574389293,-0.08325191936305573,0.4959349593495935,0.5040650406504065,0.023393653062824038,2.994387592041477,0.006854859778141135,0.8774220516020653,0.2930222039171179
alameda_county_ca__county,affordability,capital_markets,128,126,0.27498084057100447,0.0673909137410524,0.27498084057100486,0.6349206349206349,0.36507936507936506,0.0223904304298186,2.865975095016781,0.003267282341173334,0.4182121396701868,0.14592315906629957
alameda_county_ca__county,demand,capital_markets,128,124,-0.021589137182123505,0.022043713529920222,-0.021589137182123554,0.5241935483870968,0.47580645161290325,0.1007786820624028,12.899671303987558,0.012226179676104294,1.5649509985413497,0.12131712209268392
alameda_county_ca__county,demand,price,128,121,0.041819891861680634,-0.1793022235897759,0.04181989186168125,0.5371900826446281,0.4628099173553719,0.0985796463065789,12.618194727242098,0.008926103271812775,1.1425412187920352,0.09054712211132243
alameda_county_ca__county,demand,affordability,128,124,0.07438902489003216,-0.08118540440237265,0.07438902489003293,0.5241935483870968,0.47580645161290325,0.09757642367357344,12.4897822302174,0.007126955200192362,0.9122502656246223,0.07303972549797959
district_of_columbia_dc__county,price,affordability,128,124,-0.3075661133391227,-0.018049070771871355,-0.30756611333912365,0.27419354838709675,0.7258064516129032,0.030980032109527357,3.9654441100195017,0.01136441369728723,1.4546449532527654,0.36683027496902776
district_of_columbia_dc__county,price,capital_markets,128,124,0.026857593797534367,0.1041511860824858,0.02685759379753465,0.4596774193548387,0.5403225806451613,0.03192388730201439,4.086257574657842,0.008225849085041273,1.052908682885283,0.2576706591907504
district_of_columbia_dc__county,demand,price,128,123,-0.0023443404936892838,0.0418898995232599,-0.002344340493689153,0.5040650406504065,0.4959349593495935,0.10027621611564709,12.835355662802828,0.015759417791725863,2.0172054773409105,0.15716007645871638
district_of_columbia_dc__county,affordability,capital_markets,128,126,0.23315943083060361,0.009422500386841658,0.23315943083060292,0.5873015873015873,0.4126984126984127,0.024648833626160917,3.1550507041485973,0.0038170179107271797,0.488578292573079,0.15485592416332458
district_of_columbia_dc__county,demand,capital_markets,128,125,0.16352894921117678,-0.016745197433596228,0.1635289492111765,0.528,0.472,0.09394501763228065,12.024962256931923,0.010595290079805083,1.3561971302150506,0.11278182012032975
district_of_columbia_dc__county,demand,affordability,128,125,0.0002678456856164905,0.02793703755034305,0.0002678456856170483,0.576,0.424,0.09300116243979362,11.904148792293583,0.009342304471688389,1.1958149723761138,0.10045363118699015
